Issue Type,Issue key,Issue id,Summary,Custom field (Variant),Assignee,Due Date,Labels,Labels,Labels,Status,Reporter
Defect,DEIPCNBS20-847,1325039,NBIF ENV doesn't predict LTR MSGs in all scenarios that causes their assertion,MI200,ecwang,,,,,Opened,dstanisi
Defect,DEIPCNBS20-843,1323483,Write and read have difference behavior to hdp p2p special range,MI200,tingxie2,,,,,Opened,pfli
Defect,DEIPCNBS20-840,1315086,The transaction poisoning flag will be lost after a preloaded prefix vwire,MI200,shawhan,,,,,Deferred,pfli
Enhancement,DEIPCNBS20-829,1305143,GPUIOV VSEC_REV change ,MI200,yangz,,,,,Closed,smshen
Enhancement,DEIPCNBS20-826,1304459,[MI200] Add EarlyWakeUp feature for SDP,MI200,lharper,,,,,Implemented,lharper
Defect,DEIPCNBS20-818,1301767,sdp upstream virtual vwire control register,MI200,tingxie2,,,,,Opened,lweng
Defect,DEIPCNBS20-812,1299241,"trans with local prefix hit swus mmio,return success",MI200,xiaojwan,,,,,Deferred,smshen
Defect,DEIPCNBS20-791,1290142,[MI200]WR rsp collision RD rsp issue,MI200,qingli1,,,,,Opened,pfli
Defect,DEIPCNBS20-786,1287487,Data Link Layer State change for “downstream port-EP link” need to be log in status reg and trig software notification,Arden,bobliu,,,,,Closed,siluo
Defect,DEIPCNBS20-785,1287449,back integrate the nbif.rdl to arden and other projects.,Arden,dliu2,,,,,Closed,jiyang1
Documentation,DEIPCNBS20-783,1285720,"[MI200][POR]Virtual Addr, Physical Addr",MI200,benpeng,,,,,Closed,benpeng
Task,DEIPCNBS20-782,1285674,[MI200]Interface update,MI200,buhengxu,,,,,Closed,benpeng
Defect,DEIPCNBS20-749,1271001,Data Link Layer State changed issue,MI200,qingli1,,,,,Closed,wangr1
Defect,DEIPCNBS20-748,1269447,[mi200] DMA MSG trans aer logged as MEM_WR,MI200,wangr1,,,,,Closed,wangr1
Defect,DEIPCNBS20-735,1257655,[MI200]virtual wire NP block virtual wire P,MI200,zhegao,,,,,Closed,siluo
Defect,DEIPCNBS20-679,1206206,"host performance issue, need to fix in MI200 project",MI200,benpeng,,,,,Closed,shawhan
Defect,DEIPCNBS20-636,1167060,atomic cross poison error and detected parity error not set,MI200,shawhan,,,,,Deferred,pfli
Enhancement,DEIPCNBS20-440,979094,Pinstrap BIF_GEN4_DIS_A should not control virtual PCI-E link behaviour,MI200,qingli1,,,,,Closed,smanning
Enhancement,DEIPCNBS20-439,979082,Pinstrap BIF_CLK_PM_EN should not control virtual PCI-E link behaviour,MI200,trgong,,,,,Closed,smanning
